ID,Definition
pronunciation,The representation of the manner by which a term or word is articulated.
romanization,Transcription or transliteration from non-Latin script into Latin script.
segmentation,Specification of the pointers in time or sequence that indicates the segmentation process.
transliteration,Form resulting from the conversion of one writing system into another
