ID,Definition
adverb,Part of speech to refer to an heterogeneous group of words whose most frequent function is to specify the mode of action of the verb.
generalAdverb,Adverb belonging to the general class of adverbs
prepositionalAdverb,adverb which is very similar in its form to a preposition
pronominalAdverb,adverb formed in replacement of a preposition and a pronoun
