ID,Definition
conjunction,"Word that syntactically links words or constituents, and expresses a semantic relationship between them."
coordinatingConjunction,Conjunction that links constituents.
subordinatingConjunction,Conjunction that links constructions by making one of them a constituent of another. The subordinating conjunction typically marks the incorporated constituent.
