ID,Definition
fusedPreposition,Preposition that is the result of a morphological merge from at least two words.
fusedPrepositionDeterminer,word resulting from the aggregation of a proposition and a determiner
fusedPrepositionPronoun,word resulting from the aggregation of a preposition and a pronoun
