ID,Definition
adposition,"Part of speech that occurs before/inside/after a complement composed of a noun phrase, noun, pronoun or clause that functions as a noun phrase and form a single structure with the complement to express its grammatical and semantic relation to another unit."
circumposition,Adposition which consists of two parts which are positioned ahead and after the adpositional foci.
compoundPreposition,Preposition that is a aggregation of words
postposition,Adposition that appears at the end of the noun phrase.
preposition,Adposition placed at the beginning of a noun phrase.
