ID,Definition
adjective,Part of speech related to attributes of noun.
adjective-i,Deverbal adjective in Japanese ending with the '-i' suffix in dictionary form
adjective-na,Denominal adjectives in Japanese formed from a noun plus the particle 'na'
ordinalAdjective,Adjective/numeral/number expressing a numeric ranking.
participleAdjective,Adjective based on a verb.
pastParticipleAdjective,Adjective based on a past participle.
possessiveAdjective,An adjective derived from a noun and denoting possession by the object described by the noun.
presentParticipleAdjective,Adjective based on a present participle.
qualifierAdjective,Adjective used to qualify.
