ID,Definition
commonNoun,Noun that signifies a non-specific member of a group.
diminutiveNoun,diminutive noun
noun,"Part of speech used to express the name of a person, place, action or thing."
properNoun,A noun or adjective denoting a single object.
relationNoun,relation noun
