ID,Type,Definition
collective,,A collective number is a number referring to 'a set of things'. Languages that have this feature can use it to get a phrase like 'flock of sheeps' by using 'sheep' in collective number.
dual,,The form used in some languages to designate two persons or things. // Form used in some languages to designate two persons or things.
massNoun,,Designation of a term or word that is not countable and cannot generally be used with the indefinite article or in the plural.
otherNumber,,Designation used to classify number-related grammatical information that can differ from the standard European classifications cited above.
paucal,,Number that specifies 'a few' things.
plural,,Value that expresses more than one element. // The form of a term or word (usually of a noun) used to designate more than one object.
quadrial,,Property related to four elements.
singular,,The form of a term or word (usually of a noun) used to designate one object. // Value that expresses one element.
trial,,"Grammatical number referring to 'three things', as opposed to 'singular' and 'plural'."
